channel;sequence;default label;default score;camembert label;camembert score;label
#accueil;LM et toi;NEGATIVE;0,7139;NEUTRAL;0,5461;NEUTRAL
#accueil;Mince ma joiee;POSITIVE;0,9669;NEGATIVE;0,921;POSITIVE
#accueil;"FaeL:  exactement mon sac a dos  est bien rempi   ;)";NEGATIVE;0,9131;POSITIVE;0,7437;POSITIVE
#accueil;oups tel;NEGATIVE;0,9054;NEGATIVE;0,9304;NEGATIVE
#accueil;Bonsoir;POSITIVE;0,9956;POSITIVE;0,7414;POSITIVE
#accueil;Bonsoir tous le monde;POSITIVE;0,9926;POSITIVE;0,7547;POSITIVE
#accueil;  coucher brutus;NEGATIVE;0,9361;NEUTRAL;0,5365;NEGATIVE
#accueil;Jamais chutttt moi Kipsi mdrrrrrrrrrrr;NEGATIVE;0,9911;NEUTRAL;0,6578;NEUTRAL
#accueil;coucou Kipsi ^^;NEUTRAL;0,5603;POSITIVE;0,8431;POSITIVE
#accueil;Brutus?;NEGATIVE;0,9861;NEUTRAL;0,5176;NEUTRAL
#accueil;https://youtu.be/rltuo4S5cs0;NEGATIVE;0,9854;POSITIVE;0,6733;NEUTRAL
#accueil;YouTube Cantic War Sujet An Anaon par Tri Yann - Topic (durée: 3:36) - Vue(s): 1425;NEGATIVE;0,9919;NEUTRAL;0,6553;NEUTRAL
#accueil;elle va jamais y arriver;POSITIVE;0,9896;NEGATIVE;0,9637;NEGATIVE
#accueil;Titeseve ? Et bé....bonsoir bisousssss;NEGATIVE;0,9869;POSITIVE;0,7626;POSITIVE
#accueil;je comprends pas désolé je suis courtois sympa ici pareil en pv même si des vois je délire mais toujours dans limite et avec respect;NEUTRAL;0,5288;POSITIVE;0,6922;POSITIVE
#accueil;kiss sur ta fesse droite Kipsi;POSITIVE;0,6959;POSITIVE;0,8436;POSITIVE
#accueil;Je conprend pas pk ta des moqueries;NEUTRAL;0,5948;NEGATIVE;0,6667;NEUTRAL
#accueil;  coucou la choups1 et mon choupinet d'amour HamsterJovial;NEGATIVE;0,7989;POSITIVE;0,9021;POSITIVE
#accueil;j'adooooooore an_tourter et les images sont magnifiikeeeeeee;NEGATIVE;0,9115;POSITIVE;0,9941;POSITIVE
#accueil;je re je vais me café un café qui en veut;POSITIVE;0,746;NEGATIVE;0,7966;POSITIVE
#accueil;HamsterJovial >> c et un coup de batte que Kipsi aime lol;NEGATIVE;0,9696;POSITIVE;0,75;NEGATIVE
#accueil;hannibal-smith76|venere:  te prend pas la tete ............j'etais comme toi avant;NEUTRAL;0,6139;NEUTRAL;0,5065;NEUTRAL
