sequence;camembert label;camembert score;label;
"Sevran";neutral;0,519093871116638;neutral;
"Back to the Future";positive;0,835346043109894;positive;
"Je n'ai aucune peine";neutral;0,539713263511658;negative;
"j'te nique ta race";neutral;0,553149163722992;negative;
"Dans les veines j'n'ai que de la glace";neutral;0,595860421657562;neutral ;
"Je veux savoir c'que ça fait d'prendre leur place";neutral;0,666258096694946;negative;
"J'm'entraîne à sourire devant ma glace";neutral;0,617050886154175;positive;
"La capitale dans le barillet";neutral;0,603472411632538;neutral ;
"Tout arrive de Colombie ";positive;0,753869354724884;neutral ;
"akhé";positive;0,792327880859375;;
"Je rappe sale tellement avarié";negative;0,97114759683609;negative;
"Que même ces putains d'rats attrapent la diarrhée";negative;0,777287602424622;negative;
"J'encule Brandon et Dylan";neutral;0,568473637104034;negative;
"Si ces pédés crament au napalm ";negative;0,713873445987701;negative;
"j'veux la palme";positive;0,76487809419632;positive;
"J'm'en bats les couilles de qui rend l'âme";negative;0,93337219953537;negative;
"J'trempe mes cookies dans tes larmes";positive;0,8624227643013;negative;
"Les singes viennent de sortir du zoo";neutral;0,628510236740112;neutral ;
"Armés comme à l'époque du clos";positive;0,801403343677521;negative;
"L'ange de la mort dans la peau";positive;0,911318242549896;negative;
"Ton cadavre derrière quelques plots";negative;0,79846453666687;negative;
"Le sang est plus épais que l'eau";positive;0,809658944606781;neutral ;
"Armés comme à l'époque du Clos";positive;0,744632363319397;negative;
"Traqué mais pas domestiqué";positive;0,693026721477509;positive;
"Ma vocation ";neutral;0,628391087055206;neutral ;
"te braquer et t'voir me l'astiquer";neutral;0,567333579063416;negative;
"J'te mets en location t'es maqué";neutral;0,518220245838165;;
"j'vais devoir te niquer";negative;0,782116115093231;negative;
"T'es en rotation";neutral;0,639819145202637;neutral ;
"t'es claqué";positive;0,721719801425934;negative;
"faudra m'expliquer";neutral;0,583962917327881;neutral ;
"du surplus de quelques barrettes";negative;0,737692952156067;neutral ;
"turfu";positive;0,692452430725098;positive;
"j'te la mets en plein tête";positive;0,827390313148499;negative;
"Ta mère la sale pute";neutral;0,630186498165131;negative;
"il est trop tard pour chahed";negative;0,909351527690887;negative;
"C'est pas parce que tu ne joues plus que le jeu s'arrête";negative;0,911922037601471;neutral ;
"Ça sent la sueur au labo";neutral;0,585240066051483;neutral ;
"Cent plombs dans tous les bracos";neutral;0,618057668209076;negative;
"Viser en plein cœur tous ces raclos";positive;0,743043303489685;negative;
"Armés ";positive;0,7978635430336;positive;
"Jete baise ";neutral;0,541583716869354;negative;
"La chambre est assez grande pour plusieurs chiennes";neutral;0,648680686950684;negative;
"Le torse est assez large pour plusieurs chaînes";neutral;0,583876430988312;neutral ;
"Dans le monde des Blancs";positive;0,733355522155762;neutral ;
"les billets sont mauves";neutral;0,524142444133759;neutral ;
"Chez nous, l'animal dominant est un noir chauve";positive;0,679962456226349;neutral;
"Quelques grammes par jour";neutral;0,528455257415771;neutral ;
"Les Hommes mentent mais pas les chiffres";neutral;0,523719966411591;neutral ;
"Le nom d'un mort tatoué sur la peau";positive;0,69732654094696;positive;
"J'suis le fruit de tes entrailles";positive;0,847002565860748;positive;
"j'témoigne sur un champ de ruines";negative;0,93262106180191;negative;
"Comme un épouvantail, qui éloigne les anges du dîn";negative;0,797746479511261;positive;
"Mama";positive;0,682958483695984;positive;
"je vis pas je meurs pas";neutral;0,601080715656281;neutral ;
"s'il te plaît prie pour moi";positive;0,845410287380219;neutral;
"ne pleure pas";neutral;0,600496172904968;neutral;
"J'passe beaucoup de temps sur un grand nombre de petites choses";neutral;0,577974259853363;neutral ;
" et tu vois qu'les heures passent";neutral;0,504892110824585;neutral ;
"Tu m'as dit : ""Reste près de la cour""";positive;0,67986536026001;neutral ;
"avant de racailler";neutral;0,514009714126587;neutral;
"tu vas finir dans un four à détailler de la CC";negative;0,929871916770935;negative;
"Moi j'n'ai jamais écouté l'prof";negative;0,873213112354279;negative;
"moi, j'n'ai jamais fait mes devoirs";negative;0,778739333152771;negative;
"et si la police me coffre";neutral;0,659463465213776;negative;
"c'est que t'as eu un bébé noir";neutral;0,655845582485199;neutral ;
"Et j'ai juré d'être hardcore";positive;0,748018801212311;neutral;
"jusqu'à ma mort";positive;0,777918219566345;neutral;
"Tu m'as dit Petit tu as tort";neutral;0,612648725509644;negative;
"le monde est rempli de choses que tu ignores";positive;0,744692742824554;positive;
"Très souvent les armes y sont, mais le tueur n'y est pas";negative;0,864682674407959;negative;
"Je n'ai que ma famille";neutral;0,583395957946777;neutral;
"pas d'amis";negative;0,716590583324432;negative;
"Des ennemis";neutral;0,503204524517059;negative;
"Les cicatrices m'ont ouvert l'âme";positive;0,97333562374115;positive;
"Je n'ai pas d'attache";negative;0,975970387458801;negative;
"Entre le ciel et les flammes";positive;0,712885141372681;positive;
"mes démons jouent à cache-cache";neutral;0,639865398406982;neutral ;
"Si j'devais choisir entre tout ce biff et toutes ces bitchs";negative;0,731682419776917;neutral;
"Je prendrais le gros chèque, parce que l'oseille est la plus bonne des schnecks";neutral;0,661819517612457;positive;
"Et j'suis fait d'or noir comme le pétrole";neutral;0,629041075706482;positive;
"les lumières de la ville sont mes lucioles";positive;0,844555258750916;positive;
"Sur tous les terrains comme le Patrol";positive;0,832491099834442;positive;
"peu m'importe tant qu'j'fais le pactole";neutral;0,554250776767731;neutral;
"On s'étiole, dans les derniers degrés de l'alcool";negative;0,946420609951019;negative;
"rêvant de Cap Canaveral";positive;0,731082916259766;positive;
"De blanche de Panama avec mes rats dans l'Panamera";neutral;0,64248389005661;neutral;
"Et j'n'sais faire que le bandit";negative;0,683669447898865;negative;
"à des années-lumières de Gandhi";neutral;0,647225022315979;neutral ;
"J'suis dans ma sphère tandis, que l'univers grandit";positive;0,821100294589996;neutral ;
"J'écrase tous les remparts";neutral;0,50888592004776;negative;
"sombre est ma vérité sans fard";positive;0,94836437702179;neutral;
"Pas d'amis, dans cette chienne de vie";neutral;0,532226860523224;negative;
"Zongo";positive;0,74117237329483;neutral;
"Tchoin";neutral;0,518043637275696;negative;
"La go ";neutral;0,523995041847229;neutral ;
"c'est p't-être une fille bien";positive;0,683341264724731;positive;
"Tu t'assoies sur mes cuisses t'es sur pilotis";neutral;0,634320199489594;negative;
"Balle dans le chargeur";negative;0,672978699207306;negative;
"Faut que je fasse rentrer des gros lo-ki";neutral;0,563959002494812;negative;
"J'ouvre une bouteille, le bouchon de liège saute";neutral;0,555702745914459;positive;
"Elle se retrouve dans l'œil du videur";neutral;0,514472126960754;neutral;
"Ils se demandent si je prépare une sauce";neutral;0,645595788955688;neutral ;
"J't'emmène dans l'futur comme dans Les Visiteurs";positive;0,812594413757324;positive;
"Je traîne à coté de ton derche";negative;0,927264988422394;negative;
"Y'a un Pokemon Go-go-go";positive;0,745267450809479;neutral ;
"Panamera";neutral;0,588260293006897;neutral ;
"Je t'éblouis comme un Kaméhaméha";positive;0,982802510261536;positive;
"Elle me fait un strip-tease intégral";neutral;0,654600143432617;negative;
"J'décolle comme à Cap Canaveral";positive;0,932911515235901;positive;
"J't'aurai même si tu fais ble3'";neutral;0,636784434318542;neutral;
"Billets verts en plusieurs exemplaires";positive;0,72920286655426;positive;
"Mon succès sera ta chute";neutral;0,531630277633667;negative;
"Qu'une chose à dire je dis pute";neutral;0,659458220005035;negative;
"Elle est venue avec moi pas avec toi";negative;0,744210243225098;negative;
"Tu paies sa conso'";neutral;0,506303787231445;negative;
"elle part avec moi";positive;0,794713795185089;negative;
"On est déblin ";neutral;0,608361005783081;positive;
"tu débloques";positive;0,765113294124603;negative;
"J'te fais la danse du double fuck";positive;0,688004732131958;negative;
"Y'a tellement de boules";positive;0,754351675510406;negative;
"dans le carré VIP";positive;0,765454649925232;neutral ;
"J'regarde le plus gros, j'suis habitué";negative;0,872427225112915;neutral;
"Elle me regarde, je la regarde";positive;0,74540501832962;neutral ;
"J'allume mon joint";negative;0,677563905715942;positive;
"j'suis fier de moi";positive;0,872134983539581;positive;
"Comme si j'allumais la flamme olympique";neutral;0,54378217458725;positive;
"Mauvais garçon cherche une fille bien";negative;0,930172681808472;neutral;
"Mais bon garçon trouve que des tchoins";neutral;0,540469467639923;negative;
"Ton gars là c'est une grosse victime";negative;0,820036232471466;negative;
"Il tiendrait pas une seconde dans l'zoo";negative;0,950744092464447;negative;
"Tout est falsch, il prend d'la créatine";negative;0,928120315074921;negative;
"Il a des putains d'boutons dans l'dos";negative;0,782913863658905;negative;
"prends un dozo";neutral;0,63819831609726;neutral;
"Tu sais qu'y a graille dans mon vaisseau";neutral;0,651945948600769;positive;
"Il était temps ";neutral;0,501542150974274;positive;
"tu traces et t'arrêtes";negative;0,788607597351074;negative;
"tu n'as laissé que l'trône la crasse ";negative;0,983913719654083;negative;
"Je serai le numéro 1 ";positive;0,678995490074158;positive;
"j'en fais le pari";positive;0,913207828998566;neutral;
"je défonce le rap français";positive;0,831191301345825;negative;
"ta chatte est moite";positive;0,708809494972229;negative;
"Je suis dans la cabine";neutral;0,535529553890228;neutral ;
"tu dois me féliciter";positive;0,842773199081421;neutral;
"tu gaspilles de l'électricité";negative;0,942709028720856;negative;
"Beaucoup d'envie et de jalousie suscitées";positive;0,750004351139069;negative;
"le cul du mouvement que je dois ressusciter";negative;0,799970328807831;negative;
"Je dégaine plus vite";neutral;0,625481843948364;positive;
"je dois anticiper";positive;0,697892904281616;neutral;
"ton règne est fini ";negative;0,790228426456451;negative;
"Rebeu";negative;0,820914268493652;neutral ;
"noich ";negative;0,732839286327362;neutral ;
"babtou ";positive;0,774149954319;neutral ;
"je leur nique la schnèk ";neutral;0,540636718273163;negative;
"pour la mixité";positive;0,801297128200531;positive;
"je mélange";neutral;0,54381275177002;neutral ;
"Fuck le SMIC";neutral;0,521388590335846;negative;
"je vends de la drogue";negative;0,888773322105408;negative;
"fuck les shmidts";neutral;0,510860919952393;negative;
"faut que je mange";neutral;0,536033272743225;neutral ;
"Salope";negative;0,688044667243958;negative;
"on a assez travaillé pendant l'esclavage";neutral;0,569881319999695;neutral;
"Gros billet ";positive;0,678828537464142;positive;
"Abidjan, Brazzaville et Dakar, chauds comme les Boko Haram et Fatah";positive;0,745009779930115;positive;
"J'ai un nouveau Glock avec 2 chargeurs";positive;0,800863921642303;negative;
"large est le torse dans le débardeur";neutral;0,607022285461426;positive;
"Pour tailler la barbe faut un sécateur";neutral;0,555798053741455;neutral;
"Grosse auto, faut qu'du coco, j'suis tout le temps à la pompe à essence";negative;0,702787637710571;neutral;
"Tes potos sont dans le coffre";neutral;0,612016081809998;negative;
