time,type,source,message,tags
51:11.1,pubmsg,Gringo29!Chaat@4C715175.A50EE7DA.81140739.IP,['Je suis la'],[]
51:11.9,pubmsg,ShadoWhite!Chaat@Operateur.Chaat.fr,"[""\x0310\x02Brrrr ça me gratte le doooooos mais j'ai des courbatures dans les bras >.<""]",[]
51:16.2,pubmsg,Belkacem!Chaat@C61F4050.2A09E6F6.5F42CDF6.IP,['DentelleNoire:   bsr'],[]
51:19.7,pubmsg,Gringo29!Chaat@4C715175.A50EE7DA.81140739.IP,['Ton bebert'],[]
51:22.0,pubmsg,Kratos!Kratos@Kratos.Chaat.fr,['\x031[ \x033Membre VIP\x031 ] \x02 Castiel\x02 est un(e) habitué(e) du salon \x02#Accueil\x02 !'],[]
51:30.4,pubmsg,Belkacem!Chaat@C61F4050.2A09E6F6.5F42CDF6.IP,['Nina:   tu  es  ou3'],[]
51:33.3,pubmsg,Belkacem!Chaat@C61F4050.2A09E6F6.5F42CDF6.IP,['Nina:   tu  es  ou'],[]
51:33.6,pubmsg,Joiee!Chaat@E268B2EA.5745E0D4.D61E0432.IP,['Re castiel'],[]
51:35.5,pubmsg,Castiel!Chaat@50967065.8F2033F9.45885A06.IP,['Oh pinaise ! !!!!!'],[]
51:42.9,pubmsg,Louisss!Chaat@76CADBAF.8CBA1037.C1DDCE5B.IP,['Bonsoir'],[]
51:43.8,pubmsg,Belkacem!Chaat@C61F4050.2A09E6F6.5F42CDF6.IP,['v1   prv'],[]
51:45.6,pubmsg,DentelleNoire!Chaat@2FC72A8E.A60D3AB2.4118CAFD.IP,"[""C'est une fille Castiel.""]",[]
51:46.3,pubmsg,Maxence!Chaat@1EB80E23.5638517C.621C5D7D.IP,['Salut'],[]
51:46.5,pubmsg,Yelila1!Chaat@1DA02DDC.9E6127BF.F44E4C05.IP,"['Dentellenoire a peu près comme vous, je viens pour allez un peu  mieux']",[]
51:54.4,pubmsg,DentelleNoire!Chaat@2FC72A8E.A60D3AB2.4118CAFD.IP,['Quel scoop !'],[]
52:00.0,pubmsg,Belkacem!Chaat@C61F4050.2A09E6F6.5F42CDF6.IP,['v1   prv   Nina'],[]
52:01.2,pubmsg,redol!Chaat@4B29CF4F.E9BDABED.C0331B00.IP,['lol pipoune   lol'],[]
53:03.8,pubmsg,Yelila1!Chaat@1DA02DDC.9E6127BF.F44E4C05.IP,['crepuscule il fau que je reste    plus longemps pour en voir les effets'],[]
53:04.3,pubmsg,arthemiss|radiostyff-OnAir!Chaat@BA6B5DF2.99D77A64.F44E4C05.IP,['bonsoir DentelleNoire bizoux'],[]
53:04.9,pubmsg,nicouser!Chaat@F64865B0.3E0D9349.4C4C32AA.IP,['8TAPAVU OXYGENE'],[]
53:06.4,pubmsg,ShadoWhite!Chaat@Operateur.Chaat.fr,['\x0310\x02ELEonoree|la_petite_robe_noire grattte grattte grattttttte !!!'],[]
