message,default label,default score,camembert label,camembert score
Tu es bien dessus pcq il est devenu ton chouchou mdr,NEGATIVE,0.9206,POSITIVE,0.8576
Vladcarstein: c'est un coup à ce qu'il ne reviennent pas,NEGATIVE,0.921,NEUTRAL,0.5455
\x0306\x02mais pas pour les vacances,NEUTRAL,0.5711,NEGATIVE,0.7821
on dirait il est 7H,NEUTRAL,0.5801,NEGATIVE,0.7584
peu être Pasdevieux,NEUTRAL,0.5218,NEGATIVE,0.7589
Mais j' ai un des chats couillon de base il sort la journée et et la nuit le seul moment où je le vois c est pour remplir sa litière,NEGATIVE,0.8077,NEGATIVE,0.8584
\x0306\x02mdrr vlad,NEGATIVE,0.989,POSITIVE,0.7307
T'en fais pas ils reviennent toujours a la maison,POSITIVE,0.8105,POSITIVE,0.7068
Salut ✌️,NEGATIVE,0.9896,POSITIVE,0.7999
Heu,NEGATIVE,0.8628,NEGATIVE,0.6673
bisous,NEGATIVE,0.9862,POSITIVE,0.8384
hier mon chat à fais peur à l'infirmière qui est venu pour le voisin j'en était étonnée,NEGATIVE,0.8188,NEUTRAL,0.622
j'aime pas les chats,POSITIVE,0.9484,NEGATIVE,0.8347
je pensais pas qu'on pouvais avoir autant peur d'un chat,POSITIVE,0.8746,NEUTRAL,0.6454
"il sappele commen ton chat.,,?¨¨^^",NEGATIVE,0.9883,POSITIVE,0.6985
"Ch\x0312a\x0313a\x031t.fr - \x0301\x02n°35380\x02\x03\x0301  Aujourd\'hui, en allant chez mon petit ami, je l\'entends murmurer à travers la porte : ""Oui, oui, je t\'aime plus que tout au monde, mon trésor !"" Furieuse, j\'entre pour le prendre sur le fait. Il parlait à son reflet dans le miroir. VDM \x03",NEGATIVE,0.9587,NEUTRAL,0.5729
\x0306\x1dbonjour à tous,NEGATIVE,0.9364,POSITIVE,0.8308
chat walid23000,NEGATIVE,0.9888,POSITIVE,0.6766
J ai ma chatte qui m as envoyer a l hôpital a cause de morsures,NEGATIVE,0.9422,NEGATIVE,0.7485
\x0306\x02bonjour Amandine88,NEUTRAL,0.5205,POSITIVE,0.6817
bonjour Amandine88,POSITIVE,0.7699,POSITIVE,0.747
chat bien répondu,NEUTRAL,0.6612,POSITIVE,0.7523
Opération de la main,NEUTRAL,0.6561,NEUTRAL,0.5341
\x0306\x02oh purée,NEGATIVE,0.9808,NEUTRAL,0.5075
carrèment Vladcarstein je me suis souvent fais mordre et griffer par des chats mais ça n'était jamais grave,NEGATIVE,0.9161,POSITIVE,0.7387
je n'aimepasles chats,NEGATIVE,0.9444,NEGATIVE,0.879
"Bonjour,",POSITIVE,0.9614,POSITIVE,0.6886
cc,POSITIVE,0.9832,POSITIVE,0.7918
\x0306\x02j'ai eu des chats ils ont toujours été gentils,NEGATIVE,0.6756,POSITIVE,0.7666
cc les nul,NEGATIVE,0.7087,NEGATIVE,0.8453
hihiii,POSITIVE,0.982,POSITIVE,0.8499
t'as dejà eu des enfants Tramontane,POSITIVE,0.8237,NEUTRAL,0.6378
\x0306\x02je supporterais pas un chat qui me mord de toutes les façons,NEGATIVE,0.9133,NEUTRAL,0.6569
cc,POSITIVE,0.9832,POSITIVE,0.7918
"Au début où on as eu le chien un soir elle étais sur la terrasse le chien est venu , elle a eu peur et c est coincer sur une chaise, je l ai pris pour la décoincer elle m as mordu jusqu'à l os et",NEUTRAL,0.6172,NEUTRAL,0.5746
M'as Peter un os de la main,POSITIVE,0.8729,NEGATIVE,0.8265
bonjour aux arrivants,POSITIVE,0.9802,NEUTRAL,0.5098
c'est balo,POSITIVE,0.9756,POSITIVE,0.7749
\x0306\x02non je ne suis pas pauvre lol,NEGATIVE,0.9526,NEUTRAL,0.5562
elinea: cc,POSITIVE,0.9743,POSITIVE,0.8016
non je ne suis pas riche,POSITIVE,0.926,NEGATIVE,0.7271
ca va,NEGATIVE,0.9511,NEUTRAL,0.6091
à ce propos hier j'ai réfléchis,POSITIVE,0.9075,NEUTRAL,0.6012
Vladcarstein: t'es sur que ton chat c'est pas un léopard ?,NEGATIVE,0.971,NEUTRAL,0.6245
bjr des gens du HAVRE pour parler de la ville pr un futur demenagement,NEGATIVE,0.9161,NEUTRAL,0.6463
\x0306Bonjour elinea !,POSITIVE,0.9903,POSITIVE,0.8092
Résultat SOS mains et paye ton opération pour désinfecter et reparte les,NEGATIVE,0.9712,NEGATIVE,0.7421
Dégâts,NEGATIVE,0.9633,NEGATIVE,0.8324
ont dit ne donne pas ton poisson au pauvre apprend lui à pécher donne pas ton argent apprend lui à en gagner ?,NEGATIVE,0.9668,NEGATIVE,0.838
je peux ca raisonne mauvaises intention suite à lapetite histoire de Vladcarstein,POSITIVE,0.9859,NEGATIVE,0.6882
\x0306\x02exactement an_tourter,NEGATIVE,0.9833,NEUTRAL,0.5957
pourquoi,POSITIVE,0.986,NEGATIVE,0.7974
est ce logiqque,POSITIVE,0.9278,NEUTRAL,0.6608
Tramontane: tu m'apprend à devenir riche,POSITIVE,0.9301,POSITIVE,0.7128
Moi pas eu un léopard mais un bon gros chat sauvage bien farouche,POSITIVE,0.714,NEUTRAL,0.5533
cc ava,NEGATIVE,0.9549,POSITIVE,0.8015
C'est qui le maire du havre déjà ?,NEGATIVE,0.9755,NEGATIVE,0.9421
\x0306\x02je suis passée à cote de ma vie donc je crois que je ne suis pas de bon conseil,NEGATIVE,0.932,NEGATIVE,0.9104
bonjour a vous,POSITIVE,0.9944,POSITIVE,0.7402
Vlad,POSITIVE,0.9736,POSITIVE,0.7837
à bon,POSITIVE,0.9993,POSITIVE,0.6701
bonjour a vous,POSITIVE,0.9944,POSITIVE,0.7402
l empalerur,POSITIVE,0.8259,NEUTRAL,0.5451
Bonjour,POSITIVE,0.9679,POSITIVE,0.6751
bisus elinea,NEGATIVE,0.9571,POSITIVE,0.743
an_tourter c pa le mec ki ete au gouverement edouard philippe,NEGATIVE,0.8838,NEUTRAL,0.5512
soit Tramontane ne conseille pas aalors,NEUTRAL,0.5881,NEGATIVE,0.7255
ah je crois que si LEHAVREyvivrequestion,POSITIVE,0.8696,NEUTRAL,0.6325
\x0306\x02j'ai bossé jour et nuit pendant 30 ans pour avoir un toit sans crédit,NEGATIVE,0.9488,NEGATIVE,0.7078
Hey,POSITIVE,0.9979,NEUTRAL,0.6309
!vent choups1,NEGATIVE,0.9824,POSITIVE,0.7386
\x037SuisPasLaLalala \x0312 dit : Tu sens cet air frais ? c'est ça un \x031≋\x0312vent\x031 ≋\x0312! \x034 choups1 \x034\x02(¬_¬”),NEGATIVE,0.9865,POSITIVE,0.7865
Bonjour a tous et a toute,POSITIVE,0.9811,POSITIVE,0.8418
"Bon je vous laisses, bisous sur vos fesses gauches",NEGATIVE,0.9382,NEUTRAL,0.6562
"Hello cobra , pas vampire aujourd'hui",POSITIVE,0.9953,NEUTRAL,0.5589
Bonjour,POSITIVE,0.9679,POSITIVE,0.6751
mince!,POSITIVE,0.9246,NEGATIVE,0.9958
je vais vous laisser aussi,POSITIVE,0.7689,NEGATIVE,0.7725
!kiss SuisPasLaLalala,NEUTRAL,0.6297,NEUTRAL,0.6313
\x037choups1 \x0312fait un énorme \x034K\x037iii\x036ii\x032sss à \x034SuisPasLaLalala,NEGATIVE,0.9857,POSITIVE,0.8066
bye an_tourter,NEUTRAL,0.634,NEUTRAL,0.5438
salut vlad tu vas bien,NEGATIVE,0.9529,POSITIVE,0.851
\x0306\x02et j'ai fait deux burnt out,NEGATIVE,0.9996,NEGATIVE,0.6881
!kiss choups1,POSITIVE,0.999,POSITIVE,0.9038
\x037SuisPasLaLalala \x0312fait un énorme \x034K\x037iii\x036ii\x032sss à \x034choups1,NEGATIVE,0.9846,POSITIVE,0.8415
^^,POSITIVE,0.9323,NEUTRAL,0.572
\x0306\x02donc l'argent c'est bien mais bon çà a ses limites aussi,NEGATIVE,0.9227,NEUTRAL,0.6606
\x0306Viens t'asseoir près de moi Pasdevieux !,NEGATIVE,0.8125,POSITIVE,0.6991
alerte aux endives,POSITIVE,0.8912,NEGATIVE,0.8125
"Oui claquer,épuiser, démotiver,démoraliser enfin le quotidien au taff lol",NEGATIVE,0.9573,POSITIVE,0.7279
bisus cobra666999,NEGATIVE,0.9904,POSITIVE,0.8139
bisous elinea ;),NEGATIVE,0.9906,POSITIVE,0.8556
Bonjour à tous,POSITIVE,0.987,POSITIVE,0.7335
Salutations la population,NEGATIVE,0.9764,NEUTRAL,0.6599
J'arrive mdr gentilmec,NEGATIVE,0.8827,POSITIVE,0.7242
\x02\x034 ℹ️ [\x0312 INFO \x031Ch\x0312a\x0313a\x031t.fr \x034] ℹ️ :\x031 Envie de faire partie des radios sur la playlist de l'interface de t'chat? \x034♫♪.ılılıll|̲̅̅●̲̅̅|̲̅̅=̲̅̅|̲̅̅●̲̅̅|llılılı.♫♪\x031 Faites en la demande sur ☞ \x0312https://support.chaat.fr/partenariat-radio :o) Enjoy !\x0312(>‿◠)✌,NEUTRAL,0.6543,POSITIVE,0.932
moi caaller jusqu'au jour ou la malediction a decidé de revenir a bord,NEGATIVE,0.9531,POSITIVE,0.6959
mince j'aurais du t'en metre un choups1 ^^,NEGATIVE,0.9503,NEGATIVE,0.7215
Salutations x2,NEGATIVE,0.9453,POSITIVE,0.7767
ca va Cobra666999 ta quel age,NEGATIVE,0.9586,NEUTRAL,0.5554
j'allais bosser sans consequences,NEGATIVE,0.9882,NEGATIVE,0.9625
et puis un jjour,NEGATIVE,0.7695,POSITIVE,0.7077
je suis pas né hier,NEUTRAL,0.5989,NEGATIVE,0.7692
t'as aucunes raison de faire ca SuisPasLaLalala :p,NEGATIVE,0.9771,NEGATIVE,0.808
;,POSITIVE,0.9309,NEUTRAL,0.5515
quoi,NEUTRAL,0.6512,NEGATIVE,0.9822
et quand tu sais pourquoi tu fatigues et que t'achete pas de energisant elle t'achève,NEGATIVE,0.9632,NEGATIVE,0.9839
Cobra666999:  té né avant hier,NEGATIVE,0.8805,NEUTRAL,0.6359
oui vitaa ;),NEGATIVE,0.8991,POSITIVE,0.7904
sans elle je vais taff le baume au coeur,NEGATIVE,0.9769,NEUTRAL,0.5613
je suis pas né de la dernière pluie ok ?,NEGATIVE,0.9848,NEUTRAL,0.5664
et la fatigue est bonne j'en redemande,NEGATIVE,0.9968,POSITIVE,0.7289
du taff meme,NEGATIVE,0.8395,POSITIVE,0.6971
moi non pus,NEGATIVE,0.9591,NEGATIVE,0.959
hallo,POSITIVE,0.9963,POSITIVE,0.8028
plus lol,POSITIVE,0.9279,NEUTRAL,0.5229
!vent,POSITIVE,0.957,NEUTRAL,0.6627
\x037UnRebeu \x0312c'est pris(e) un \x031≋\x0312 vent\x031 ≋\x0312! personne n'a répondu ! \x034\x02(¬_¬”),NEGATIVE,0.9918,NEUTRAL,0.5995
vive la necessité elle regne,NEGATIVE,0.953,POSITIVE,0.9105
H-Lamberty: viens faire mon ménage,NEGATIVE,0.7413,NEUTRAL,0.5251
\x0306\x02çà sent l'orage et les inondations de ne pas être né de la dernière pluie,NEGATIVE,0.9764,NEGATIVE,0.7139
repons Cobra666999,NEGATIVE,0.9909,NEUTRAL,0.6026
j ai 48 elinea lol,NEUTRAL,0.5829,NEUTRAL,0.5011
Yo les gens du matin :D ,NEUTRAL,0.5209,POSITIVE,0.7576
Tramontane... laisse moi les blagues et les jeux de mot stp,NEUTRAL,0.5541,NEGATIVE,0.7629
Tramontane,POSITIVE,0.9898,NEUTRAL,0.596
\x0306\x02mdrr,NEGATIVE,0.9471,NEUTRAL,0.6212
ah oué carrement,NEGATIVE,0.9717,POSITIVE,0.8535
happyy:,POSITIVE,0.9999,POSITIVE,0.8989
\x0306\x02bonjour UnRebeu,NEGATIVE,0.981,NEUTRAL,0.6502
Bonjour tramontane,POSITIVE,0.9928,POSITIVE,0.6958
Lolo,POSITIVE,0.8558,NEUTRAL,0.6263
suis vieux lol,NEUTRAL,0.6333,NEGATIVE,0.9432
;),POSITIVE,0.7912,POSITIVE,0.6872
Bon les gens je vous dit à plus tard le travail m appelle,NEUTRAL,0.5151,NEGATIVE,0.8767
Enfin un bonjour 😭,POSITIVE,0.7191,POSITIVE,0.8219
Cc la room,NEUTRAL,0.5073,POSITIVE,0.7611
H-Lamberty:  impossible de retrouver ma patafix tellement c'est le bordel ds mes tiroirs,NEGATIVE,0.9875,NEGATIVE,0.9218
"Vladcarstein, +++ courage ",POSITIVE,0.9996,POSITIVE,0.9445
j'ai un peu demal à bouger j'ai mal partout c'est quand meme propre chezmoi y veut que je fasse son menagé happy,NEGATIVE,0.9288,NEGATIVE,0.7216
\x0306\x02moi y'a rien qui m'appelle,NEGATIVE,0.9745,NEGATIVE,0.7079
hello,POSITIVE,0.9995,POSITIVE,0.8056
a ok,POSITIVE,0.9996,NEUTRAL,0.5325
Tramontane,POSITIVE,0.9898,NEUTRAL,0.596
si je t’appelle,POSITIVE,0.9629,NEUTRAL,0.5127
suis bieu,NEGATIVE,0.9713,POSITIVE,0.9433
vieux elinea ;),POSITIVE,0.951,NEUTRAL,0.5185
tu mdiras destruction volontaire impossible avec moi il y gagnerait au change je suppose happy,NEGATIVE,0.9759,NEUTRAL,0.617
bonjour kAyzO,POSITIVE,0.9607,POSITIVE,0.8787
\x0306\x02allo? bonjour monsieur comment allez vous,NEGATIVE,0.9618,POSITIVE,0.7299
oim 17,POSITIVE,0.9797,NEUTRAL,0.6519
bonjour Damien33,POSITIVE,0.8648,POSITIVE,0.7131
Salut kayzo,NEUTRAL,0.5699,POSITIVE,0.8603
Bien bien et vous tramontane,POSITIVE,0.9738,POSITIVE,0.8039
bonjour,POSITIVE,0.9679,POSITIVE,0.7109
"nanasse, Bisouuuuuuuuus coucou :-*",NEGATIVE,0.9658,NEUTRAL,0.5671
moi c'est ranger j'ai eu un peu demal à la retrouver happyy,POSITIVE,0.973,NEUTRAL,0.5952
Bonjour nanasse,POSITIVE,0.9773,NEGATIVE,0.9607
Cc nanasse,POSITIVE,0.9352,NEGATIVE,0.9195
\x0306\x02vous voulez un abonnnement à la fibre ?,NEGATIVE,0.9917,NEUTRAL,0.5656
\x0306\x02à la 5 g,NEGATIVE,0.9647,NEUTRAL,0.5211
bonjour Ennour,POSITIVE,0.9969,POSITIVE,0.7943
lol Ptiteculotte prend en une à ta taille :D ,NEGATIVE,0.9635,POSITIVE,0.7391
des endroits ou se range lapate à fixe j'en ai plusieurs possibles rire happyy,POSITIVE,0.9935,POSITIVE,0.6964
cc  Kay,POSITIVE,0.9255,POSITIVE,0.7674
desol,NEGATIVE,0.9994,NEUTRAL,0.5495
Tramontane rooh t’aurai pas pu faire autre chose qu’une pub 😭,NEGATIVE,0.9797,NEGATIVE,0.9643
CC kAyzO,POSITIVE,0.9514,POSITIVE,0.8165
\x0306\x02ba c'est ce que je reçois régulièrement au tel,NEGATIVE,0.9729,POSITIVE,0.6787
"Petiterebeu, lol ah bon tu reps pas au mec :o ( 22 F Paris, les mecs je rep pas ) :o ",NEGATIVE,0.9832,NEGATIVE,0.7007
Bonjour,POSITIVE,0.9679,POSITIVE,0.6751
"elinea, Coucou ",POSITIVE,0.984,POSITIVE,0.8344
Tramontane desole c’est les VIEUX réflexes,POSITIVE,0.6886,NEGATIVE,0.8254
\x0306\x02j'ai le maroc en ligne régulièrement,NEGATIVE,0.9435,POSITIVE,0.8023
ca va ta quel  age,NEUTRAL,0.5701,NEGATIVE,0.6674
Coucou Elise75 :p ,NEUTRAL,0.5895,POSITIVE,0.8538
g meme retrouver le nokia 3310 H-Lamberty,NEUTRAL,0.6497,POSITIVE,0.7668
"elinea, Dans la trentaine (: & toi?",NEGATIVE,0.972,NEUTRAL,0.6009
elinea: bjr,NEGATIVE,0.9422,POSITIVE,0.8716
tu dit ca,NEGATIVE,0.9371,NEUTRAL,0.6411
Nanasse pareil😉,POSITIVE,0.8036,NEGATIVE,0.9805
y'a que des PNJ ou quoi ici ? mdr,NEGATIVE,0.9847,NEGATIVE,0.868
Bonjour,POSITIVE,0.9679,POSITIVE,0.6751
"be happy,don'ont worry",POSITIVE,0.9982,POSITIVE,0.8327
cc ta quel age,POSITIVE,0.7993,NEUTRAL,0.63
Bonjour !,POSITIVE,0.9989,POSITIVE,0.7959
Elinea t es en mode chasse,NEGATIVE,0.9516,NEUTRAL,0.51
Salut,NEGATIVE,0.9924,POSITIVE,0.7253
et mewde  :/,NEGATIVE,0.9679,NEGATIVE,0.7554
Salut 👋,NEGATIVE,0.9896,POSITIVE,0.7999
\x0306\x02des Petits Nains Joyeux kAyzO ?,NEGATIVE,0.9716,NEUTRAL,0.583
je suis celib,NEGATIVE,0.9989,POSITIVE,0.7225
?,NEGATIVE,0.9851,NEUTRAL,0.6115
tu es la elinea,POSITIVE,0.9503,POSITIVE,0.7103
oui pk,POSITIVE,0.7135,POSITIVE,0.6703
"Ch\x0312a\x0313a\x031t.fr - \x0301\x02n°339767\x02\x03\x0301  Publicité ambulante Aujourd\'hui, après m\'être fait tatouer des lettres symboliques dans le dos il y a deux jours, j\'ai découvert ces mêmes lettres sur une camionnette au bout de ma rue : ADNR ou ""Assainissement, débouchage, nettoyage, recherche de fuites."" VDM \x03",NEGATIVE,0.9665,NEGATIVE,0.9612
elinea:  tu as un salon ados si tu veux quelqu'un de ton âge,POSITIVE,0.7154,NEUTRAL,0.5889
comme ca je voulais te faire bious,NEGATIVE,0.7147,NEUTRAL,0.5891
