,sequence,label
3,oups tel,negative
6,  coucher brutus,negative
12,elle va jamais y arriver,negative
20,HamsterJovial >> c et un coup de batte que Kipsi aime lol,negative
23,  quelqu'un a une musolière pour Nanie|sendort svp ?,negative
31,Pour toi Kipsi la museliere oui mdrrrrrrrrrrr,negative
39,Desesperance Un tit cancer dans la réel life plutôt :),negative
45,pas sur que ca face le meme effet un curly Desesperance,negative
46,Il va fondre,negative
47,killbill:  ça sent le gage,negative
71,on n'a pas parlé de gage pour moi,negative
73,l'italie souffre,negative
75,Quels comediens ces italochs,negative
82,GCDS Trop mure sûrement...,negative
84,Trop dur .. titeseve,negative
87,Une grosse banane trop dure.. titeseve,negative
102,Non pipoune !,negative
106,Pipoune tu va dodo,negative
108,Personne ta sonné desesperence,negative
109,tu peux faire tous les legumes c'est pas le tien qu'elle veut,negative
112,non quoi Desesperance ?,negative
113,"GCDS Oublie-moi, j'ai les yeux qui saignent!",negative
114,Ennour:  ca ne va pas aujourd'hui désolée,negative
126,Personne,negative
132,bon ça va aller à la prolongation ça hannibal-smith76|venere,negative
139,TiteSeve >> encore ???,negative
145,Sex tel ?,negative
146,non plus,negative
147,c pas ta faute mais on s'en blk le s,negative
151,🥵🥵🥵🥵,negative
153,Tsss.,negative
159,TiteSeve >> n'est plus étanche...,negative
166,TiteSeve >> est alèze...,negative
177,TiteSeve >> ton canapé n'est pas d'accord,negative
178,certainement pas,negative
188,t naze,negative
189,lourd,negative
193,cherche un sexe afro humain pour me deboiter les cotelettes,negative
196,prolongation,negative
198,nazou Mars07 allez en pv et laissez ns tranquil,negative
199,non ! Babycrew il ne faut pas mdrr,negative
206,en fait moi je m en fiche qui gagne c est juste pour gagner mon pari mdrr,negative
208,Les italiens vont perdre hihihi....bzzz killbill,negative
213,vu les dissonances nominatifs,negative
214, Bisoussss  stage mais non !,negative
218,mais non,negative
220,ça c'est pas fait killbill,negative
224,Ils ont mal défendu....leur spécialité,negative
225,"la final c est pour le Danemark, ca sert a rien de regarder ce match lol",negative
228,Killbill mais en vrai je me suis tromper j ai confondu avec le Portugal vu que je supporte Christian Ronaldo autant pour moi,negative
229,ne cherchez pas mdrrr,negative
234,killbill: nn deja ce soir c est pas sur,negative
237,tss tsss stage,negative
240,"chut, revoilà bidou",negative
242,aller pleurer,negative
259,ma chere killbill vous revez,negative
260,pourquoi personne ne veut me parler ?,negative
263,jamais éveillée hannibal-smith76|venere mdrrr,negative
281,Moi j attend les pleurs des italiens avant d aller me coucher,negative
283,LoL stage tu vas attendre longtemps,negative
287,il faudra que ce soit toi qui pleures mdrrr,negative
297,Moi je ne pleure que si une fille me brise le cœur,negative
303,C est pas le foot qui va me faire pleurer lol,negative
308,killbill:  non rien,negative
309,Toi killbill tu me fais pleurer quand tu me fouettes,negative
310,tss tsss,negative
315,encore ?,negative
321,Au pire des cas les italiens perdront contre les anglais,negative
324,bah oui Massss c est trop !,negative
330,"il voulait me voir, je lui ai dit non",negative
336,mdrr TiteSeve j allais dire merci de quoi,negative
340,J aime pas trop Romantiqua hélas ...,negative
343,Grrrrr PetitPierre|Happy-Days|On-AiR,negative
355,Ben nan,negative
356,Tu me fais pleurer  PetitPierre|Happy-Days|On-AiR :(,negative
364,"Non, futon",negative
365,les italiens souffrent lol,negative
366,!fouet Terre-Hermes,negative
367,TiteSeve fouette vigoureusement Terre-Hermes. T'aime ça coquin(e) hein ===~~~~~~,negative
368,ça chauffe hannibal-smith76|venere mdrrr,negative
369,y a pas de panneau,negative
370,ça chauffe ça chauffe,negative
371,Little_Ch33ky tu me tue,negative
375,Comment te dire adieu,negative
377,oulalala c'est la décadanceuuuh,negative
378,Ailleuuu mes mollets !,negative
382,se sont entretués ou je reve,negative
387,mlleflerina t'es une chaudasse,negative
388,Derrière un client je saurais mieux comment te dire adieu,negative
391,looping|222 T'es réducteur!,negative
392,pr une fois j entendrais pas les klaxons vu la france eliminee lol,negative
401,ça chauffe,negative
404,grenade grenade,negative
406,vs etes énormes ici sur les fautes,negative
407,Satanas lol PetitPierre|Happy-Days|On-AiR ça ma manqué lol,negative
408,mais t'es pas net baptiste,negative
409,il se trouve que le seigneur m'a élevé à un haut rang pour me donner un point de vue supérieure sur son royaume,negative
415,Condoléance looping|22,negative
421,lol Elolo bah voyons,negative
422,Trouble,negative
423,car la religion est le premier pas sur la voie de la raison,negative
425,des becquilles quoi,negative
426,tssssssss looping n importe quoi,negative
433,je ne suis pas raciste je mange du couscous,negative
439,t'ad fait le mort hier soir?,negative
442,Trouble baby,negative
444,Romantiqua:   eleonore  est morte ?,negative
446,qui ca qu a fait le mort hier?,negative
451,Redol bsr arrêtes de dire des bêtises,negative
454,elles ont l'instinct plus aiguisé que les hommes pour comprendre l'arnaque de la religion,negative
