,sequence,label
0,LM et toi,neutral
7,Jamais chutttt moi Kipsi mdrrrrrrrrrrr,neutral
9,Brutus?,neutral
10,https://youtu.be/rltuo4S5cs0,neutral
11,YouTube Cantic War Sujet An Anaon par Tri Yann - Topic (durée: 3:36) - Vue(s): 1425,neutral
16,Je conprend pas pk ta des moqueries,neutral
21,hannibal-smith76|venere:  te prend pas la tete ............j'etais comme toi avant,neutral
24,!cafe,neutral
26,!dodo accueil,neutral
27,channel aimerait bien se faire border par accueil car c'est l'heure d'aller au dodo ^^ ! Bonne nuit <3 ,neutral
29,mais hooo la pfff jte tire la langue toi et moi la bah je suis au tel avec ma rachel ^^ Kipsi,neutral
30,hannibal-smith76|venere:  part pas les mains vident prend mon mug XD,neutral
35,"chipie (Chaat@3D7BE8A1.ABD7BD7F.2FE039B1.IP) a été vu la dernière fois partir de #Accueil il y a 1 heure, 48 minutes ("""").",neutral
38,Prend un curly Lea1384,neutral
41,tu regardes le foot hannibal-smith76|venere,neutral
42,Un curly lol,neutral
48,1 - 1 !!,neutral
51,quel gage ? hannibal-smith76|venere,neutral
52,le tien,neutral
53,pipoune: Dans ce cas la elle en prend plusieurs..........,neutral
56,Goooolazo,neutral
58,bas si l'italie perd,neutral
59,Desesperance:  meme plusieurs ...,neutral
60,"Pas de soucis Desesperance, et le ""mieux"", je le saurai en septembre :)",neutral
61,ah non non hannibal-smith76|venere il n'a jamais été question de gage pour moi naméo !,neutral
64,j ai dit que l italie allait gagner l euro,neutral
67,bah voyons mdrrr,neutral
68," ℹ️ [ INFO Chaat.fr ] ℹ️ : ⛔ STOP aux bagarres ❗ ⛔ Tout comportement négatif ou violent pourra être sanctionné par un Kick voir un Ban. Pour chaque minute où vous êtes en colère, vous perdez 60 secondes de bonheur. Ce TChat n'est pas un défouloir. Merci :)",neutral
70,c est toi qui as qui ferait le gage que je veux si l italie gagne,neutral
77,on verra alors hannibal-smith76|venere,neutral
83,oui Sunny_Flottet et toi ?,neutral
85,Bonsoir je cherche une femme pour discuter,neutral
86,....,neutral
90,Sympa,neutral
93,GCDS Une banane pas mûre donc?,neutral
