sequence,label
pas moi,neutral
diablotin en même temps j'ai fait un somme il y a pas longtemps,neutral
Ayah|OnAir : ok lol,positive
grominet01: pas trop de degats ?,neutral
sa tête je m'en tape le coquillard .,negative
يوجد عرب هنا,neutral
2 fois qu'elle dit qu'elle se casse mais elle est toujours là lol,negative
oui Caramelo,positive
ego huic musicae exultant lusibus  ^^,positive
!ricorée,neutral
!kb looping|222µ§µ@µ INSULTES,negative
Samedii ya rabbi meskin hhhhhhh,positive
وحنا دايخين,positive
Belkacem|dz:  la bagarrev lyoum,neutral
bon je vous laisse,neutral
toto: d3awi lkhyr,neutral
Maintenant a compter de lundi cest les vacances jusque en septembre,positive
"J'ai la banane Desesperance, depuis le début!",positive
Eldorande bsrrrr,positive
Toto well Rabi yakhlef 3lik xD,positive
"Elolo, puriste?",neutral
Ouiiii biensur tiptop,positive
Nanasse coucou gros bisous à toi,positive
Je sois faire a mangé la :/,negative
ila tssomi,positive
le seigneur quel seigneur,positive
bien merci et toi MvsConeX|VivaOrangina,positive
Ok New-man mm qst pr toi frero,neutral
😎~ https://youtu.be/KRaWnd3LJfs,positive
Salamo 😮 Superstitions Nous nous leurrons que quelqu'un est entré dans notre cœur,positive
LadyIce fait un énorme Kiiiiisss à Sephi,positive
En France,neutral
Salamon why t prof d'informatique ?,neutral
Hahahaahhaha,positive
L entraineur qui ma fait le plus rire c'est Domenech,negative
Tu as fait de ton mieux et le résultat est bon forseti,positive
Lambert c est quoi ton histoire accident gars et fille,neutral
car j'ai envie de faire l,positive
Tess_ pourquoi,neutral
y a qui?,neutral
vitaa1: kherjyh wahrani31 le d'où hh,neutral
07.84.91.26.31,neutral
"Nath31 (Chaat@B79CCD09.5E566A91.EC6C2695.IP) a été vu pour la dernière fois quitter #Entre-filles il y a 10 heures, 26 minutes (Bon retour sur www.chaat.fr).",negative
twinsen:  tu as eu bien raison,positive
vitaa1: qui ton preferé,neutral
c'est comme les courses de velo c tres tres dur,negative
Le foot c est bien quand c est bien joué en vrai,positive
eurasienne: bisou merci à toi,positive
Wachbik sublime Rak zafaane,neutral
lol pas faux titelive,positive
Anya: nroh lachta ysob petrol aalya hhh,neutral
t n pause kAyzO,neutral
والتربية,neutral
Bonjour  homelander,positive
entre autres oui exactement,positive 
Finder fait un énorme Kiiiiisss à bruna,positive
30 cachets pour 3 euros remboursé par la sécu,neutral
Dors bien babycrew,positive
il a 10 ans mon pc,neutral
p.tn tu fous quoi la,negative
Baztou33_grr Elle a deux e,neutral
Bonjour.,positive
Bonsoir,positive
mdrr bah voyons stage,neutral
Et il parle tres mal,negative
BiLaa HouDouud,neutral
Bonjour,positive
les gens d'aujourd'hui c'est grave tu propose des cam to cam sa y est tu fait la catin bande de chacal,negative
Imen hum hum hum xD galek wech aki mlaha c ça ?,positive
xlormilena un pv donc.. il suffit de cliquer sur le pseudo et privé,neutral
Bonsoir bonsoir Tess_,positive
Je suis soucieux de préserver l'honneur des jeunes filles en fleur,positive 
Cc lolotte44,positive
