message,default label,default score,camembert label,camembert score
"‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
",NEGATIVE,0.9963,POSITIVE,0.8385
"‎You created this group
",POSITIVE,0.999,POSITIVE,0.7661
"coucou pierre peux tu aider Nico pour sa tablette
",NEUTRAL,0.5947,NEUTRAL,0.6377
"Oui comment?
",NEGATIVE,0.9664,NEUTRAL,0.6608
"pour l'aider à choisir il est parti sur l'asus mais a pas l'air emballé
",POSITIVE,0.9684,NEGATIVE,0.8036
"Oui je sais pas lol
",POSITIVE,0.8332,NEUTRAL,0.5273
"T'as vu quoi comme tablette qui te plaisait sinon ?
",NEGATIVE,0.9853,NEGATIVE,0.805
"Rien lol
",POSITIVE,0.9539,NEGATIVE,0.9784
"ah ben pas cool alors crois tu que NVIDIA va en refaire
",POSITIVE,0.8674,NEGATIVE,0.9913
"Pas Grave maman l Asus a l aire bien enfin celle qui me dit le plus 😊
",NEGATIVE,0.7999,POSITIVE,0.8153
"OK chéri bises à demain
",POSITIVE,0.7561,POSITIVE,0.9019
"A demain 😊
",NEGATIVE,0.9766,POSITIVE,0.8773
"Vous êtes relou avec vos tek
",NEGATIVE,0.9204,NEGATIVE,0.736
"Mdr
",NEGATIVE,0.9466,NEUTRAL,0.6288
"on connaît que ça
",NEGATIVE,0.6821,NEGATIVE,0.7902
"C'est con j'voulais le jouer avec toi Maman mais il me manque un K
",NEUTRAL,0.6653,NEGATIVE,0.7669
"quel dommage
",NEGATIVE,0.967,NEUTRAL,0.5394
"J’ai changé le code Netflix, ya un relou qui arrête pas de se créer un compte
Qui me fait bien rire avec ses noms de comptes du genre “me supprimeras stp”
Donc le nouveau code c’est
Adieu1961
",NEGATIVE,0.9656,NEGATIVE,0.7247
"oh ben merci pour le code lol tu crois que c'est quelqu'un qui connaît kethiel
",NEGATIVE,0.9263,POSITIVE,0.7235
"Et s’il vous plait, évitez de filer les codes à des gens, surtout s’ils sont relous comme ça
",POSITIVE,0.9923,NEUTRAL,0.5098
"je vais le dire à kethiel
",NEGATIVE,0.9674,POSITIVE,0.7712
"Adieu c’était pour le gars et je mets toujours une date et je voulais changer
👍
",NEUTRAL,0.5117,NEUTRAL,0.6351
"non mais je plaisante j'aime bien ton nouveau code
",NEGATIVE,0.9037,POSITIVE,0.7512
"Espèrons qu’il dure plus longtemps
😋
",NEUTRAL,0.5454,POSITIVE,0.7042
"je le donne pas et si kethiel en a besoin je le taperai
",NEUTRAL,0.505,POSITIVE,0.6991
"Ok
",POSITIVE,0.9998,POSITIVE,0.7579
"comment tu t'en ai rendu compte
",POSITIVE,0.7772,POSITIVE,0.7506
"J’veux pas que ça la bloque elle, j’peux pas blairer les gens qui viennent se créer leur compte à la cool sans demander
Puis vu le nom des comptes, jsuis sûr que Kethiel aussi lui supprimait ses comptes
Ou c’est peut-être @33687807067
",NEGATIVE,0.8896,NEUTRAL,0.566
"non mais je vais lui expliquer en plus elle va bientôt en avoir besoin avec son nouveau téléphone
ah peut être le coloc de Nico
",NEGATIVE,0.7553,NEUTRAL,0.5487
"Elle va en avoir besoin dès qu’elle utilise Netflix, j’ai coché l’option pour que les gens retapent le mot de passe
Bon bah Nico si c’est toi, transmet le message aussi
Et si ça vous arrive encore, vous me le dites et je change le mot de passe
",NEGATIVE,0.9571,NEUTRAL,0.5598
"kethiel a dit qu'elle l'avait pas donné depuis l'histoire de je ne me rappelle plus son prénom
",NEGATIVE,0.8465,POSITIVE,0.7135
"Ok c’est Nico alors
Bah file lui le code si elle a rien fait
",NEGATIVE,0.8425,NEGATIVE,0.8512
"je verrai si elle dit rien je le taperai tout simplement
",NEUTRAL,0.6184,NEGATIVE,0.7416
